Affirmation,Tag
A loving relationship now brightens my life,love
All my relationships are loving,love
All of my interactions are harmonious,love
All relationships in my life are harmonious and empowering,love
I accept a perfect loving relationship with open arms,love
I allow love to find me easily and effortlessly,love
I am a great catch,love
I am a love magnet,love
"I am attracting a loving, supportive soul mate",love
 I am attracting my perfect lover right now,love
 I am attracting my perfect soul mate,love
 I am attracting the perfect companion for me,love
 I am confident around members of the opposite sex,love
 I am creating room in my life for my soul mate,love
 I now draw toward me fulfilling and loving relationships,love
" I now attract an affectionate, loving partner",love
 I seek out relationships with people who empower me,love
 I share my life with a perfect soul mate,love
 I am drawing love and romance into my life today,love
 I am enjoying a fulfilling and loving relationship,love
 I am a skilled lover,love
" I am a warm, giving person",love
 I am cherished and valued,love
" I am deeply loved, and love deeply in return",love
 I am greeted by love wherever I go,love
 I am romantically contented,love
" I am surrounded by loving, caring people",love
 I make decisions that come from my heart,love
 I manifest love into my life by thinking loving thoughts,love
 I open my heart to love,love
 I radiate love and happiness wherever I go,love
" I radiate pure, unconditional love to all the people in my life",love
 I welcome all the wonder and glory of life into my heart,love
 I live each and every day with perfect love,love
 The power of love is guiding me in all ways,love
 Love and peace surrounds my life at all times,love
 Love fills my entire world,love
 Love greets me in every situation in my life,love
 Love is all around me.,love
 My heart and mind are open to giving and receiving love,love
 My heart grows more open and loving every day,love
 My heart is always open to love,love
 My heart is filled with love,love
 My life is filled with joyous love,love
" My life is filled with loving, caring people",love
 My life is illuminated by the loving relationships with which I am blessed,love
 My love life just keeps getting better and better,love
 My thoughts are always loving and truthful,love
 My true love is on their way to me,love
 My very being radiates love and appreciation,love
 My world is full of love and joy.,love
I only engage in activities which are healthy and life-enhancing,health
A greater sense of well-being fills my consciousness every day,health
Every breath I take elevates my mood and energizes my body,health
An aura of perfect well-being surrounds my body and mind,health
I maintain my ideal body weight easily and effortlessly,health
All my thoughts are of abundant health and well-being,health
All the cells in my body resonate in perfect harmony,health
Perfect health courses through every cell in my body,health
I send love and gratitude to every part of my body,health
 Every cell in my body exudes health and vitality,health
" I am infused with inner peace, vitality, and joy",health
 Divine life flows through every cell in my body,health
 A complete sense of well-being infuses my life,health
 Every cell in my body vibrates with well-being,health
 Perfect well-being surrounds my body and mind,health
 My choices are intelligent and life-enhancing,health
 I am immensely grateful for my perfect health,health
 I am in constant possession of perfect health,health
 I love how wonderful and strong my body feels,health
 My cells absorb well-being throughout the day,health
 I am a perfect example of fitness and health,health
 I have a strong and effective immune system,health
" I only think healthy, empowering thoughts",health
 My body is a reflection of perfect health,health
 I am blessed with strength and wholeness,health
 All of my thoughts are healthy thoughts,health
 I am blessed with perpetual well-being,health
 I am full of radiant health and energy,health
 I enjoy optimum health now and forever,health
 I enjoy perfect health and well-being,health
 I am the embodiment of perfect health,health
 I am the embodiment of well-being,health
 I am blessed with abundant health,health
" I am healthy, whole, and complete",health
 I am always healthy and it shows,health
" I am fit, healthy and attractive",health
 My skin is clear and radiant,health
I am supernaturally beautiful.,beauty
I glow with supernatural beauty.,beauty
I radiate supernatural beauty from within.,beauty
I am supernaturally perfect in every way.,beauty
I am supernaturally flawless in every way.,beauty
My presence is supernaturally powerful.,beauty
I am supernaturally beautiful inside out.,beauty
My beauty radiates vibrantly from within.,beauty
I am glowing with inner and outer beauty.,beauty
 All desired and beneficial changes in myself are permanent.,beauty
 I rapidly make these affirmations my reality.,beauty
 I now accept these affirmations as my truth.,beauty
 I let go of all negative thoughts and beliefs I have about myself.,beauty
 I heal my mentality and inner self more and more every day,beauty
 I am manifesting my ideal face and body now.,beauty
 I am manifesting my desired facial and body features now.,beauty
" I radiate positive, good vibes to everyone around me.",beauty
 Why am I so sexy?,beauty
 Why am I so gorgeous?,beauty
 Why am I so beautiful?,beauty
 I love and accept myself now.,beauty
 I love and accept myself unconditionally.,beauty
 I am extremely confident and strong.,beauty
 I love and accept myself exactly as I am now.,beauty
 I am happy and free.,beauty
 I express myself freely and easily.,beauty
 I am extremely great to be around.,beauty
 I am extremely fun to be around.,beauty
 I am admired and loved by everyone.,beauty
 Everyone loves being around me.,beauty
 Everyone loves being with me.,beauty
 I easily make new friends and talk to new people.,beauty
 I instantly make everyone around me feel amazing.,beauty
 I instantly make everyone around me happy.,beauty
 I am free spirited and positive.,beauty
" Everyone can sense my unique, amazing, vibrant energy.",beauty
" I glow with happiness, love and gratitude.",beauty
" I spread love, happiness and gratitude everywhere I go.",beauty
 I am an amazing person.,beauty
 I am an extremely beautiful individual.,beauty
 I am an extremely unique individual.,beauty
 I am so grateful for everything in my life.,beauty
 I am so grateful for myself and the experiences I attract.,beauty
" My life is filled with happiness, love and amazing experiences.",beauty
" I have an amazing, beautiful personality.",beauty
" I have a fun, spontaneous personality.",beauty
" I am a loving, caring, kind individual.",beauty
" I have a unique, wonderful personality.",beauty
 I am extremely friendly and nice to everyone.,beauty
 I am unforgettable.,beauty
" Everyone’s mood instantly changes to an amazing mood when they are around
me.",beauty
 I am respected and admired by everyone.,beauty
 I am extremely special.,beauty
 Everyone feels lucky to know me.,beauty
 I am one of a kind.,beauty
 I am confident in myself and everything I do.,beauty
 I am humble and down to earth.,beauty
 I now attract experiences that reflect these affirmations.,beauty
 Everyone is equal and beautiful in my eyes.,beauty
 I see the good and love in every individual that crosses my path.,beauty
 I touch every individual that crosses my path in the most positive way.,beauty
 I inspire others just by being myself.,beauty
 I am an amazing influence on everyone that knows me.,beauty
 I make everyone feel at ease and comfortable around me.,beauty
 Everybody feels comfortable being themselves around me.,beauty
" I am helpful, supportive and understanding.",beauty
 I am free spirited and open minded.,beauty
 I am a natural leader.,beauty
 I am open minded and wise.,beauty
 I am extremely funny.,beauty
 I am goofy and spontaneous.,beauty
 I am an amazing conversationalist.,beauty
 People crave my friendship and attention.,beauty
 I am perfection.,beauty
 I am love.,beauty
 I am beauty.,beauty
 I am happiness,beauty
